CustomerID,Gender,Age,Annual_Income,Spending_Score,Purchase_Frequency
98,Male,24,62000,34,4
99,Male,32,62000,25,3
100,Female,33,63000,72,8
101,Male,32,63000,48,5
102,Female,24,63000,76,8
103,Male,33,65000,28,3
104,Female,38,65000,73,8
105,Male,47,65000,28,3
106,Female,35,65000,82,9
107,Male,45,68000,32,3
108,Female,32,68000,18,2
109,Female,36,69000,83,9
110,Male,32,70000,36,4
111,Male,40,71000,35,4
112,Female,28,71000,92,10
113,Female,36,71000,36,4
114,Male,36,71000,52,5
115,Male,52,72000,24,3
116,Female,30,72000,73,8
117,Male,58,73000,22,2
118,Female,27,73000,82,9
119,Male,59,74000,27,3
120,Female,35,75000,71,7
121,Male,37,76000,28,3
122,Female,32,76000,71,7
123,Male,46,77000,19,2
124,Female,29,77000,83,9
125,Male,41,77000,40,4
126,Female,30,77000,87,9
127,Male,54,78000,22,2
128,Female,28,78000,83,9
129,Male,41,78000,42,5
130,Female,36,78000,72,8
131,Male,34,78000,39,4
132,Female,32,78000,71,7
133,Male,33,79000,38,4
134,Female,38,79000,72,8
135,Male,47,80000,42,5
136,Female,35,80000,72,8
137,Male,45,81000,26,3
138,Female,32,81000,72,8
139,Male,46,82000,31,3
140,Female,29,82000,81,9
141,Male,53,83000,21,2
142,Female,32,83000,73,8
143,Male,48,83000,33,3
144,Female,35,85000,71,7
145,Male,47,85000,26,3
146,Female,35,85000,71,7
147,Male,49,86000,31,3
148,Female,33,86000,72,8
149,Male,47,87000,33,3
150,Female,35,87000,71,7
151,Male,60,88000,32,3
152,Female,24,88000,86,9
153,Male,42,88000,35,4
154,Female,29,89000,82,9
155,Male,57,89000,18,2
156,Female,38,90000,72,8
157,Male,67,91000,27,3
158,Female,46,92000,22,2
159,Male,58,93000,16,2
160,Female,29,93000,81,9
161,Male,35,97000,36,4
162,Female,50,98000,35,4
163,Male,48,99000,33,3
164,Female,37,99000,72,8
165,Male,52,101000,25,3
166,Female,28,101000,73,8
167,Male,44,103000,47,5
168,Female,30,103000,73,8
169,Male,57,103000,20,2
170,Female,43,105000,36,4
171,Male,38,107000,29,3
172,Female,36,107000,71,7
173,Male,35,108000,33,3
174,Female,55,108000,48,5
175,Male,42,109000,32,3
176,Female,41,110000,35,4
177,Male,47,111000,27,3
178,Female,22,112000,72,8
179,Male,35,112000,30,3
180,Female,44,113000,69,7
181,Male,46,114000,28,3
182,Female,30,115000,73,8
183,Male,56,115000,19,2
184,Female,29,115000,75,8
185,Male,29,116000,30,3
186,Female,35,116000,71,7
187,Male,43,117000,31,3
188,Female,40,117000,73,8
189,Male,38,118000,33,3
190,Female,35,119000,71,7
191,Male,50,120000,36,4
192,Female,27,120000,74,8
193,Male,55,120000,22,2
194,Female,35,121000,71,7
195,Male,46,122000,28,3
196,Female,32,122000,72,8
197,Male,38,123000,30,3
198,Female,33,123000,71,7
199,Male,47,126000,29,3
200,Female,35,126000,71,7
