CustomerID,Gender,Age,Annual_Income,Spending_Score,Purchase_Frequency,Gender_Encoded,Cluster,Segment,PCA1,PCA2
111,Male,40,71000,35,4,0,0,📊 Segment 1,-0.6365659565354088,0.1010845627109322
112,Female,28,71000,92,10,1,1,❤️ Loyal Customers,2.5081655575978017,0.34779244300929546
113,Female,36,71000,36,4,1,0,📊 Segment 1,-0.4470596184407723,0.0800419798135689
114,Male,36,71000,52,5,0,0,📊 Segment 1,0.1457237896067089,0.1544190355837371
115,Male,52,72000,24,3,0,0,📊 Segment 1,-1.6126169718186496,0.14787585034050377
116,Female,30,72000,73,8,1,1,❤️ Loyal Customers,1.5414942108464262,0.28546561955310146
117,Male,58,73000,22,2,0,0,📊 Segment 1,-2.1293213463107237,0.1874651753437725
118,Female,27,73000,82,9,1,1,❤️ Loyal Customers,2.09397579884969,0.3509413182464385
119,Male,59,74000,27,3,0,0,📊 Segment 1,-1.8363809498617816,0.2642386922465759
120,Female,35,75000,71,7,1,1,❤️ Loyal Customers,1.063313778734352,0.38309134618788765
121,Male,37,76000,28,3,0,0,📊 Segment 1,-0.9021647748861598,0.1979964503590822
122,Female,32,76000,71,7,1,1,❤️ Loyal Customers,1.1864266167627322,0.3969277733828158
123,Male,46,77000,19,2,0,0,📊 Segment 1,-1.7069048476568878,0.2330661194355883
124,Female,29,77000,83,9,1,1,❤️ Loyal Customers,2.02820724782151,0.494553214198768
125,Male,41,77000,40,4,0,0,📊 Segment 1,-0.5704307605706758,0.31572587987864176
126,Female,30,77000,87,9,1,1,❤️ Loyal Customers,2.080046705699071,0.5136189432309628
127,Male,54,78000,22,2,0,0,📊 Segment 1,-1.9707009702576956,0.3234471152500679
128,Female,28,78000,83,9,1,1,❤️ Loyal Customers,2.0682393923791857,0.5205350602903607
129,Male,41,78000,42,5,0,0,📊 Segment 1,-0.305984870846066,0.37668192264521616
130,Female,36,78000,72,8,1,1,❤️ Loyal Customers,1.2598579662150293,0.5109809545866784
131,Male,34,78000,39,4,0,0,📊 Segment 1,-0.30450148675411554,0.3020232143842754
132,Female,32,78000,71,7,1,1,❤️ Loyal Customers,1.1834102124073802,0.4610368844626656
133,Male,33,79000,38,4,0,0,📊 Segment 1,-0.28781429334966774,0.3247568055799024
134,Female,38,79000,72,8,1,1,❤️ Loyal Customers,1.1752690705666493,0.5551809290232678
135,Male,47,80000,42,5,0,0,📊 Segment 1,-0.5582433556135306,0.4772272904150593
136,Female,35,80000,72,8,1,1,❤️ Loyal Customers,1.2983819085950294,0.5690173562181958
137,Male,45,81000,26,3,0,0,📊 Segment 1,-1.2887184619638128,0.40035439385343313
138,Female,32,81000,72,8,1,1,❤️ Loyal Customers,1.4214947466234096,0.582853783413124
139,Male,46,82000,31,3,0,0,📊 Segment 1,-1.2150422551106996,0.4547229333215183
140,Female,29,82000,81,9,1,1,❤️ Loyal Customers,1.9739763346266734,0.6483294821064611
141,Male,53,83000,21,2,0,0,📊 Segment 1,-1.960046585563952,0.47439892860539445
142,Female,32,83000,73,8,1,1,❤️ Loyal Customers,1.4418232934212858,0.6502111493889394
143,Male,48,83000,33,3,0,0,📊 Segment 1,-1.2529412484526234,0.5054194175500389
144,Female,35,85000,71,7,1,1,❤️ Loyal Customers,1.0482317569575919,0.7036369015871363
145,Male,47,85000,26,3,0,0,📊 Segment 1,-1.377831964145221,0.5407180349097972
146,Female,35,85000,71,7,1,1,❤️ Loyal Customers,1.0482317569575919,0.7036369015871363
147,Male,49,86000,31,3,0,0,📊 Segment 1,-1.34569610402746,0.6011592838262145
148,Female,33,86000,72,8,1,1,❤️ Loyal Customers,1.3724133889996775,0.7491992705610806
149,Male,47,87000,33,3,0,0,📊 Segment 1,-1.2174337104279753,0.6275649302614061
150,Female,35,87000,71,7,1,1,❤️ Loyal Customers,1.0452153526022399,0.767746012666986
151,Male,60,88000,32,3,0,0,📊 Segment 1,-1.7823113713184564,0.7353164537336845
152,Female,24,88000,86,9,1,1,❤️ Loyal Customers,2.2893536110035186,0.8265345425841771
153,Male,42,88000,35,4,0,0,📊 Segment 1,-0.7452860870266053,0.6581574257863193
154,Female,29,89000,82,9,1,1,❤️ Loyal Customers,1.9867638705361694,0.8759596257819009
155,Male,57,89000,18,2,0,0,📊 Segment 1,-2.205292039031101,0.6812723349503756
156,Female,38,90000,72,8,1,1,❤️ Loyal Customers,1.158678846612213,0.9077810399624413
157,Male,67,91000,27,3,0,0,📊 Segment 1,-2.1943431607650905,0.8577478120119566
158,Female,46,92000,22,2,1,0,📊 Segment 1,-1.6594930268623433,0.7236292172223582
159,Male,58,93000,16,2,0,0,📊 Segment 1,-2.299555096783614,0.8090667567664761
160,Female,29,93000,81,9,1,1,❤️ Loyal Customers,1.9573861106722372,1.0009295930456346
161,Male,35,97000,36,4,0,0,📊 Segment 1,-0.44473252832499677,0.9073877144032834
162,Female,50,98000,35,4,1,0,📊 Segment 1,-1.092690882686182,1.027284656772226
163,Male,48,99000,33,3,0,0,📊 Segment 1,-1.2770724832954397,1.0182923061888367
164,Female,37,99000,72,8,1,1,❤️ Loyal Customers,1.1866453737484808,1.1901993303734328
165,Male,52,101000,25,3,0,0,📊 Segment 1,-1.633009883818026,1.0807062158942904
166,Female,28,101000,73,8,1,1,❤️ Loyal Customers,1.5808370411645256,1.202902311314258
167,Male,44,103000,47,5,0,0,📊 Segment 1,-0.3515862097278815,1.2125052139681625
168,Female,30,103000,73,8,1,1,❤️ Loyal Customers,1.4947399433384696,1.2791568412907723
169,Male,57,103000,20,2,0,0,📊 Segment 1,-2.1797169672121086,1.1365326223012553
170,Female,43,105000,36,4,1,0,📊 Segment 1,-0.7891209196292215,1.21240583430934
171,Male,38,107000,29,3,0,0,📊 Segment 1,-0.9671144379762402,1.2010086364410508
172,Female,36,107000,71,7,1,1,❤️ Loyal Customers,0.9735109623133672,1.4149098329138157
173,Male,35,108000,33,3,0,0,📊 Segment 1,-0.7506217953349471,1.2278380832198414
174,Female,55,108000,48,5,1,0,📊 Segment 1,-0.7927260835519061,1.4428260504954074
175,Male,42,109000,32,3,0,0,📊 Segment 1,-1.0662573758133158,1.2991533500021262
176,Female,41,110000,35,4,1,0,📊 Segment 1,-0.7369261882001257,1.3572849382163343
177,Male,47,111000,27,3,0,0,📊 Segment 1,-1.3937002696115695,1.3773847338438092
178,Female,22,112000,72,8,1,1,❤️ Loyal Customers,1.7901439464689737,1.5158179106674727
179,Male,35,112000,30,3,0,0,📊 Segment 1,-0.8266894575053358,1.3463115406916442
180,Female,44,113000,69,7,1,1,❤️ Loyal Customers,0.5854490730580381,1.6493223319480912
181,Male,46,114000,28,3,0,0,📊 Segment 1,-1.3333395782560171,1.4707239459112174
182,Female,30,115000,73,8,1,1,❤️ Loyal Customers,1.4766415172063574,1.6638115077698707
183,Male,56,115000,19,2,0,0,📊 Segment 1,-2.179619997762097,1.511866324436056
184,Female,29,115000,75,8,1,1,❤️ Loyal Customers,1.5648717662481657,1.6642353081134698
185,Male,29,116000,30,3,0,0,📊 Segment 1,-0.5834801858039276,1.4380935061613502
186,Female,35,116000,71,7,1,1,❤️ Loyal Customers,1.0014774894496352,1.6973281233248072
187,Male,43,117000,31,3,0,0,📊 Segment 1,-1.1432082911233041,1.558414248873892
188,Female,40,117000,73,8,1,1,❤️ Loyal Customers,1.0582216454974844,1.7886477133330427
189,Male,38,118000,33,3,0,0,📊 Segment 1,-0.8903248573177635,1.5666017669640868
190,Female,35,119000,71,7,1,1,❤️ Loyal Customers,0.9969528829166071,1.793491789944582
191,Male,50,120000,36,4,0,0,📊 Segment 1,-1.1025263794418263,1.7357331335465387
192,Female,27,120000,74,8,1,1,❤️ Loyal Customers,1.6170664976772617,1.8091144120204639
193,Male,55,120000,22,2,0,0,📊 Segment 1,-2.0755858084554406,1.6758111573752446
194,Female,35,121000,71,7,1,1,❤️ Loyal Customers,0.993936478561255,1.8576009010244316
195,Male,46,122000,28,3,0,0,📊 Segment 1,-1.3454051956774253,1.727160390230616
196,Female,32,122000,72,8,1,1,❤️ Loyal Customers,1.3596584573386927,1.8970905605500437
197,Male,38,123000,30,3,0,0,📊 Segment 1,-0.9679007216658283,1.7171297799758145
198,Female,33,123000,71,7,1,1,❤️ Loyal Customers,1.0740007676766072,1.9095645932076168
199,Male,47,126000,29,3,0,0,📊 Segment 1,-1.3696333999702532,1.8646995767346135
200,Female,35,126000,71,7,1,1,❤️ Loyal Customers,0.9863954676728749,2.017873678724056
